"帧号
frame","时间(秒)
time_s","叶子状态（行为树最深活跃状态名）
leaf_state","状态ID链
state_id_chain
(17/3/9 形式，对照 behbnd 层级)","主体动画ID
motion_clip
（CMSG_Motion 下半身动画）","动画层ID
anime_clip
（CMSG_Anime）","脸部动画ID
face_clip","本帧全部动画(\|分隔)
all_clips","主动画英文名
motion_clip_en","主动画中文名
motion_clip_cn","主动画时长(秒)
motion_clip_dur","状态效果ID
motion_clip_speffect","帧聚合ID
debug_unique_id（判断切换点）"
123,2.05,StandMoveLoop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",47
124,2.067,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",48
125,2.083,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",48
126,2.1,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",49
127,2.117,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",49
128,2.133,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",49
129,2.15,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",49
130,2.167,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",50
131,2.183,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",51
132,2.2,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",51
133,2.217,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",52
134,2.233,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",52
135,2.25,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",52
136,2.267,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",53
137,2.283,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",53
138,2.3,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",53
139,2.317,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",54
140,2.333,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",55
141,2.35,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",55
142,2.367,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",55
143,2.383,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",56
144,2.4,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",56
145,2.417,StandMoveloop,17/0/0,a000_000500,a000_000540_Anime,a000_790010,a000_000500|a000_000540_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",57
146,2.433,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",58
147,2.45,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",58
148,2.467,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",59
149,2.483,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",60
150,2.5,StandMaveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",61
151,2.517,StandMaveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",61
152,2.533,StandMoveloop,17/0/0,,a000_000500_Anime,a000_790010,a000_000500_Anime|a000_790010,,,,,62
153,2.55,StandMoveloop,17/0/0,,a000_000500_Anime,a000_790010,a000_000500_Anime|a000_790010,,,,,62
154,2.567,StandMoveloop,17/0/0,,a000_000500_Anime,a000_790010,a000_000500_Anime|a000_790010,,,,,62
155,2.583,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",63
156,2.6,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",64
157,2.617,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",64
158,2.633,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",65
159,2.65,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",65
160,2.667,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",65
161,2.683,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",66
162,2.7,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",66
163,2.717,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",66
164,2.733,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",67
165,2.75,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",68
166,2.767,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",68
167,2.783,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",68
168,2.8,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",69
169,2.817,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",70
170,2.833,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",71
171,2.85,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",71
172,2.867,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",72
173,2.883,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",72
174,2.9,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",72
175,2.917,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",72
176,2.933,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",72
177,2.95,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",73
178,2.967,StandMaveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",73
179,2.983,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",74
180,3,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",74
181,3.017,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",75
182,3.033,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",75
183,3.05,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",75
184,3.067,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",75
185,3.083,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",76
186,3.1,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",76
187,3.117,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",76
188,3.133,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",76
189,3.15,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",76
190,3.167,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",77
191,3.183,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",77
192,3.2,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",77
193,3.217,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",77
194,3.233,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",78
195,3.25,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",78
196,3.267,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",78
197,3.283,AddBendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",79
198,3.3,AddBendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",79
199,3.317,AddBendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",79
200,3.333,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",80
201,3.35,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
202,3.367,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
203,3.383,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
204,3.4,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
205,3.417,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
206,3.433,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
207,3.45,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
208,3.467,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
209,3.483,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
210,3.5,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
211,3.517,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
212,3.533,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
213,3.55,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
214,3.567,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
215,3.583,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
216,3.6,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
217,3.617,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
218,3.633,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
219,3.65,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
220,3.667,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
221,3.683,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
222,3.7,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
223,3.717,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
224,3.733,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
225,3.75,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
226,3.767,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
227,3.783,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
228,3.8,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
229,3.817,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
230,3.833,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
231,3.85,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
232,3.867,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
233,3.883,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
234,3.9,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
235,3.917,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
236,3.933,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
237,3.95,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
238,3.967,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
239,3.983,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
240,4,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
241,4.017,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
242,4.033,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
243,4.05,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
244,4.067,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
245,4.083,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
246,4.1,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
247,4.117,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
248,4.133,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
249,4.15,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
250,4.167,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
251,4.183,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
252,4.2,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
253,4.217,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
254,4.233,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
255,4.25,Master,17/8/0,,,a000_790010,a000_790010,,,,,81
256,4.267,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
257,4.283,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
258,4.3,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
259,4.317,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
260,4.333,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
261,4.35,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
262,4.367,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
263,4.383,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
264,4.4,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
265,4.417,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
266,4.433,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
267,4.45,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
268,4.467,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
269,4.483,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
270,4.5,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
271,4.517,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
272,4.533,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
273,4.55,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
274,4.567,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
275,4.583,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
276,4.6,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
277,4.617,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
278,4.633,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
279,4.65,Master,17/8/0,a000_000600,,a000_790010,a000_000600|a000_790010,StandRunStopF,站立跑步停止·前,3.333,"100006, 100313",82
280,4.667,StandMoveStart,17/5/0,,a000_000401_Anime,a000_790010,a000_000401_Anime|a000_790010,,,,,83
281,4.683,StandQuickTurnMoveStartleft180,17/11/0,,a000_000432_Anime,a000_790010,a000_000432_Anime|a000_790010,,,,,84
282,4.7,StandQuickTurnMoveStartleft180,11月17日,a000_000401,,,a000_000401|a000_000432,StandRunLowerStart_B[A],站立跑步起步(下半身)·后,3.333,"100001, 100240, 100295, 100366",85
283,4.717,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",86
284,4.733,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
285,4.75,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
286,4.767,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
287,4.783,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
288,4.8,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
289,4.817,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
290,4.833,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
291,4.85,StandQuick,11月17日,a000_000432,a000_000432_Anime,,a000_000432|a000_000401|a000_000432_Anime,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",87
292,4.867,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
293,4.883,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
294,4.9,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
295,4.917,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
296,4.933,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
297,4.95,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
298,4.967,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
299,4.983,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
300,5,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
